trajectory_id,pickup_venueCategory,pickup_name,pickup_category,dropoff_venueCategory,dropoff_name,dropoff_category,passenger_count,pickup_hour,dropoff_hour,pickup_week
1,Electronics Store,Yodobashi-Akiba (ヨドバシカメラ マルチメディアAkiba),Electronics Store,Convenience Store,7-Eleven (セブンイレブン),Convenience Store,3,6,8,Saturday
2,Ramen /  Noodle House,Komoro Soba (小諸そば),Soba Restaurant,Convenience Store,7-Eleven (セブンイレブン),Convenience Store,4,3,4,Sunday
3,Japanese Restaurant,Tokyo Tonteki (東京トンテキ),Yoshoku Restaurant,Gym / Fitness Center,エスフォルタ渋谷,Education,1,10,11,Monday
4,Ramen /  Noodle House,Tenkaippin (天下一品),Ramen Restaurant,Café,emma LOUNGE (エマ ラウンジ),Italian Restaurant,3,3,4,Wednesday
5,Arcade,Taito Station (タイトーステーション 新宿南口ゲームワールド店),Arcade,Subway,Marunouchi Line Shinjuku Station (M08) (丸ノ内線 新宿駅),Metro Station,3,7,8,Saturday
6,Food & Drink Shop,Queen's Isetan (クイーンズ伊勢丹),Grocery Store,Gym / Fitness Center,大森ジム,Boxing Gym,4,6,6,Friday
7,Italian Restaurant,スパゲッティ食堂 ドナ 新橋店,Pizzeria,Arcade,スペースFS汐留,Event Space,1,7,7,Saturday
8,Italian Restaurant,スパゲッティ食堂 ドナ 新橋店,Pizzeria,Arcade,スペースFS汐留,Event Space,1,6,6,Sunday
9,Indian Restaurant,Curry Shop C&C (カレーショップ C&C),Japanese Curry Restaurant,Toy / Game Store,アソビットホビーシティ,Toy Store,3,4,4,Tuesday
10,Fast Food Restaurant,McDonald's (マクドナルド),Fast Food Restaurant,Toy / Game Store,アソビットホビーシティ,Toy Store,2,8,9,Saturday
11,Food & Drink Shop,OK (オーケー 川口店),Supermarket,Temple,西福寺,Buddhist Temple,3,7,7,Sunday
12,Food & Drink Shop,よしや 中板橋本店,Grocery Store,Event Space,Kawaguchi Lilia (川口総合文化センター リリア),Cultural Center,3,5,7,Sunday
13,Train Station,Nerima Station (練馬駅),Convenience Store,Japanese Restaurant,Yoshinoya (吉野家),Fast Food Restaurant,3,13,15,Saturday
14,Art Museum,"The National Art Center, Tokyo (国立新美術館)",Art Museum,Coffee Shop,Tully's Coffee,Coffee Shop,3,2,4,Saturday
15,Light Rail,Ryutsu Center Station (MO04) (流通センター駅),Rail Station,Fast Food Restaurant,Matsuya (松屋 八重洲店),Restaurant,4,1,1,Sunday
16,Mall,Lazona Kawasaki Plaza (ラゾーナ川崎プラザ),Shopping Mall,Drugstore / Pharmacy,クリエイトSD 川崎南野川店,Drugstore,1,11,12,Sunday
17,Building,ThinkPark Tower,Business Center,Train Station,Kamata Station (蒲田駅),Rail Station,4,9,10,Wednesday
18,Convention Center,大田区民センター,Community Center,Train Station,Kamata Station (蒲田駅),Rail Station,4,10,12,Monday
19,Sushi Restaurant,Uzushio (うず潮),Sushi Restaurant,Bookstore,Shosen Book Tower (書泉ブックタワー),Bookstore,4,7,8,Tuesday
20,Subway,Hibiya Station (日比谷駅),Metro Station,Sushi Restaurant,Uzushio (うず潮),Sushi Restaurant,3,6,7,Wednesday
21,Hobby Shop,ワラビヤ,Thai Restaurant,Ice Cream Shop,Gelateria SINCERITA,Gelato Shop,2,7,8,Sunday
22,Bar,横丁酒場 あばらや別館,Sake Bar,Record Shop,TOWER RECORDS,Retail,1,11,12,Saturday
23,Hobby Shop,Cospatio (コスパティオ 秋葉原本店),Costume Store,Toy / Game Store,ボークス秋葉原ホビー天国,Toy Store,2,8,9,Saturday
24,Electronics Store,Yodobashi-Akiba (ヨドバシカメラ マルチメディアAkiba),Electronics Store,Hobby Shop,Akihabara Gamers (AKIHABARAゲーマーズ),Hobby Store,4,3,4,Saturday
25,Office,NTT Docomo Yoyogi Building (NTTドコモ代々木ビル),Office Building,Café,Coffee Room Renoir (喫茶室ルノアール),Café,4,1,2,Sunday
26,Bookstore,Books Kinokuniya (紀伊國屋書店),Bookstore,Electronics Store,Bic Camera (ビックカメラ),Electronics Store,2,4,4,Thursday
27,Subway,Higashi-shinjuku Station (東新宿駅),Rail Station,Bike Shop,Y's Road 新宿アーバンe-コミューター店,Bicycle Store,2,7,8,Monday
28,Office,Akihabara UDX (秋葉原UDX),Business Center,Event Space,belle salle (ベルサール秋葉原),Event Space,2,5,6,Saturday
29,Bar,Darts&BAR TRIP,Cocktail Bar,Other Great Outdoors,Kinoshita Zaka (木下坂),Road,4,10,11,Friday
30,Japanese Restaurant,Momodori (六本木 百鳥),Cocktail Bar,Other Great Outdoors,Kinoshita Zaka (木下坂),Road,4,10,11,Friday
31,Miscellaneous Shop,Map Camera West (マップカメラ カメラ買取・下取センター),Camera Store,Camera Store,ヨドバシカメラ カメラ総合館,Camera Store,1,9,9,Friday
32,Hobby Shop,Gamers (ゲーマーズ),Retail,Ramen /  Noodle House,Tokyo Mentsudan (東京麺通団),Japanese Curry Restaurant,1,10,11,Monday
33,Miscellaneous Shop,7-Eleven (セブンイレブン 大田区蒲田5丁目店),Convenience Store,Train Station,JR Kamata Station (JR 蒲田駅),Rail Station,4,8,8,Monday
34,Train Station,JR Kamata Station (JR 蒲田駅),Rail Station,Train Station,JR Kamata Station (JR 蒲田駅),Rail Station,2,8,9,Monday
35,Hobby Shop,Nikon House (ニコンハウス),Retail,Bookstore,Maruzen (丸善),Bookstore,2,9,9,Wednesday
36,Mall,Nakano Broadway (中野ブロードウェイ),Shopping Plaza,Japanese Restaurant,東京チカラめし 西荻窪南口店,Japanese Restaurant,1,2,3,Saturday
37,Mall,ecute Shinagawa (ecute 品川),Shopping Mall,Bookstore,Maruzen (丸善),Bookstore,4,8,8,Saturday
38,Paper / Office Supplies Store,G.Itoya,Stationery Store,Department Store,Matsuya Ginza (松屋銀座),Department Store,1,10,10,Thursday
39,Gym / Fitness Center,コナミスポーツクラブ銀座,Gym and Studio,Gym / Fitness Center,Konami Sports Club (コナミスポーツクラブ 荻窪南口),Sports Club,1,14,14,Tuesday
40,Coffee Shop,Starbucks (スターバックス),Coffee Shop,Train Station,Iidabashi Station (飯田橋駅),Rail Station,3,6,7,Thursday
41,Bookstore,Comic Toranoana A (コミックとらのあな 秋葉原店A),Comic Book Store,Subway,Shinozaki Station (S20) (篠崎駅),Metro Station,3,6,7,Friday
42,Electronics Store,Yodobashi-Akiba (ヨドバシカメラ マルチメディアAkiba),Electronics Store,Bar,HUB,Pub,3,7,8,Sunday
43,Food & Drink Shop,Seijo Ishii (成城石井),Grocery Store,Park,Yotsuya Mitsuke Park (四谷見附公園),Park,2,3,3,Sunday
44,Café,アーキテクトカフェ 汐留店,Café,Office,ミネベアミツミ東京クロステックガーデン,Travel and Transportation,4,3,3,Sunday
45,Ramen /  Noodle House,TsuruTonTan (つるとんたん),Udon Restaurant,Subway,Oedo Line Roppongi Station (E23) (都営大江戸線 六本木駅),Metro Station,4,12,13,Sunday
46,Arcade,Taito Station (タイトーステーション 新宿南口ゲームワールド店),Arcade,Movie Theater,Shinjuku Wald 9 (新宿バルト9),Movie Theater,4,8,8,Thursday
47,Train Station,Nishiaraidaishi-nishi Station (西新井大師西駅),Rail Station,Train Station,Nishiaraidaishi-nishi Station (西新井大師西駅),Rail Station,4,4,5,Saturday
48,Bar,HUB,Pub,University,東京電機大学東京千住アネックス,University,3,9,9,Thursday
49,Ramen /  Noodle House,名代 富士そば 後楽園店,Soba Restaurant,Bridge,小石川橋,Landmarks and Outdoors,2,5,6,Friday
50,Electronics Store,Yamada Denki LABI 1 (ヤマダデンキ LABI1 LIFE SELECT 池袋),Home Appliance Store,Bank,Sumitomo Mitsui Banking Corporation (SMBC) (三井住友銀行 池袋支店・千川支店),Bank,2,4,5,Monday
51,Music Venue,SHIBUYA PLEASURE PLEASURE,Music Venue,Ramen /  Noodle House,麺処 おかげさま,Ramen Restaurant,3,1,3,Saturday
52,Electronics Store,Yamada Denki LABI (ヤマダデンキ LABI 渋谷),Home Appliance Store,Food & Drink Shop,OK Supermarket (オーケー 初台店),Grocery Store,2,7,8,Sunday
53,Toy / Game Store,Yamashiroya (ヤマシロヤ),Toy Store,Mall,Yanaka Ginza Shotengai (谷中銀座商店街),Shopping Mall,3,7,9,Saturday
54,Bookstore,Books Kinokuniya (紀伊國屋書店),Bookstore,Electronics Store,BICQLO (ビックロ),Electronics Store,4,8,9,Friday
55,Arcade,アドアーズ池袋西口店,Arcade,Café,王立アフィリア魔法学院,Café,3,12,12,Friday
56,Food & Drink Shop,My Basket (まいばすけっと 桜新町駅前店),Grocery Store,Government Building,厚生労働省国立医薬品食品衛生研究所,Government Department,4,23,0,Monday
