poi_id,venueCategory,name,category,formatted_address,latitude,longitude,tag
4f0fd5a8e4b03856eeb6c8cb,Cosmetics Shop,Aroma Bloom,Cosmetics Store,"上荻1丁目9-1 (タウンセブン 7F), 杉並区, 東京都, 167-0043",35.705112,139.619565,1
4b7b884ff964a5207d662fe3,Ramen /  Noodle House,Ramen Benkei (らーめん弁慶),Ramen Restaurant,"花川戸2丁目17-9, 台東区, 東京都, 111-0033",35.715163,139.800689,1
4c16fdda96040f477cc473a5,Convenience Store,セブン-イレブン,Convenience Store,"上水本町4丁目20-18, 小平市, 東京都, 187-0022",35.716384,139.480063,1
4c178638c2dfc928651ea869,Food & Drink Shop,マルエツ,Grocery Store,"東日暮里5丁目16-1, 荒川区, 東京都, 116-0014",35.725931,139.776145,1
4f568309e4b071452e447afe,Housing Development,,,,,,404
4b83b207f964a5202c0d31e3,Furniture / Home Store,MUJI (無印良品),Clothing Store,"上荻1丁目9-1 (西友荻窪店 5F), 杉並区, 東京都, 167-0043",35.705067,139.619617,1
4ea281c302d529c116a57755,Convenience Store,ローソン,Convenience Store,"上荻1丁目18-12, 杉並区, 東京都, 167-0043",35.706192,139.617795,1
4b3eae5cf964a520b4a025e3,Train Station,Kokubunji Station (国分寺駅),Rail Station,"本町2丁目1-23, 国分寺市, 東京都, 185-0012",,,1
4cca7bd67965b60c80f0858a,Other Great Outdoors,いなり坂 ,Other Great Outdoors,"北区, 東京都",35.756345,139.733128,1
4b5c7671f964a520083129e3,Ramen /  Noodle House,Kameya (かめや),Soba Restaurant,"西新宿1丁目2-11 (思い出横丁), 新宿区, 東京都, 160-0023",35.693067,139.699405,1
4b5ed39cf964a520079a29e3,Airport,Terminal 1 (第1ターミナル),Airport Terminal,"羽田空港3丁目3-2, 大田区, 東京都, 144-8515",35.548748,139.783804,1
4e014c11c65b896d116d480c,Bus Station,京浜大橋,Landmarks and Outdoors,"京浜島3丁目1 (湾岸道路), 大田区, 東京都, 143-0001",35.579053,139.756581,1
4e538e91483b944199dede7a,Convenience Store,ファミリーマート,Convenience Store,"東大泉4丁目10-23, 練馬区, 東京都, 178-0063",35.750848,139.58204,1
